0	0.63650	0.02467
1220	0.64750	0.03533
2313	0.64467	0.02633
3442	0.65367	0.03200
4502	0.67400	0.05233
5523	0.65083	0.04733
6578	0.66883	0.04433
7717	0.67967	0.03300
8801	0.66850	0.03100
9841	0.67117	0.04100
11072	0.66983	0.05933
12101	0.67083	0.02467
13265	0.66500	0.02267
14506	0.66567	0.03767
15648	0.68433	0.03867
16727	0.67967	0.05367
17858	0.68217	0.03200
19046	0.69217	0.03433
20212	0.69650	0.04333
21234	0.69500	0.04467
22239	0.68750	0.03733
23240	0.68933	0.03300
24251	0.68433	0.02833
25346	0.69100	0.04233
26481	0.69617	0.03900
27558	0.68950	0.04933
28724	0.69367	0.03533
29781	0.70183	0.03133
30862	0.67817	0.03600
31925	0.69800	0.03567
33020	0.67133	0.02867
34169	0.66800	0.03800
35311	0.68750	0.04900
36436	0.69067	0.06067
37600	0.68617	0.03867
38766	0.68133	0.03633
39777	0.66067	0.02033
40951	0.69283	0.04033
41972	0.68333	0.02467
43111	0.67667	0.04333
44111	0.69350	0.05100
45227	0.67900	0.05233
46385	0.68033	0.04433
47404	0.68700	0.04300
48518	0.69017	0.03700
49766	0.69767	0.06000
50860	0.70050	0.07567
51884	0.68517	0.03767
53053	0.68867	0.05933
